Année,Mois,Jour,Saison,Consommation (MW),Production (MW),Energies renouvelables (MW),Température moyenne (°C),Température référence (°C),Thermique (MW),Nucléaire (MW),Eolien (MW),Solaire (MW),Hydraulique (MW),Bioénergies (MW)
2013,3,22,0,3070258.0,3296333.0,665557.0,9.6,9.0,336199.0,2294577.0,147741.0,27706.0,454225.0,35885.0
2013,3,23,0,2752024.0,3023724.0,524459.0,9.2,9.1,293252.0,2206013.0,84917.0,16369.0,386138.0,37035.0
2013,3,25,0,3140663.0,3240683.0,550669.0,6.4,9.3,442191.0,2247823.0,79189.0,23219.0,412656.0,35605.0
2013,3,26,0,3246062.0,3336470.0,542426.0,5.5,9.4,474667.0,2319377.0,52650.0,26258.0,427998.0,35520.0
2013,3,27,0,3262769.0,3341034.0,520575.0,5.3,9.5,467063.0,2353396.0,32702.0,26525.0,426529.0,34819.0
2013,3,28,0,3282023.0,3357261.0,560745.0,5.2,9.7,599282.0,2197234.0,29550.0,15215.0,481994.0,33986.0
2013,3,29,0,3276335.0,3358725.0,555007.0,5.3,9.8,408802.0,2394916.0,43297.0,20371.0,456248.0,35091.0
2013,3,30,0,3006920.0,3143778.0,599579.0,5.8,9.9,350267.0,2193932.0,93742.0,19919.0,450646.0,35272.0
2013,3,31,0,2859291.0,3003265.0,564154.0,4.8,10.0,265159.0,2173952.0,69530.0,33721.0,426178.0,34725.0
2013,4,1,1,2886115.0,3020573.0,614460.0,5.4,10.1,166586.0,2239527.0,160145.0,24278.0,399623.0,30414.0
2013,4,6,1,3029431.0,3119679.0,584168.0,5.5,10.7,347786.0,2187725.0,94804.0,14343.0,447456.0,27565.0
2013,4,7,1,2794363.0,2897970.0,479069.0,6.6,10.8,259218.0,2159683.0,53754.0,31009.0,367256.0,27050.0
2013,4,8,1,3082526.0,3079565.0,509755.0,7.7,11.0,366284.0,2203526.0,51043.0,21845.0,410775.0,26092.0
2013,4,11,1,2872989.0,3128753.0,662073.0,12.1,11.4,304555.0,2162125.0,158574.0,16494.0,460212.0,26793.0
2013,4,13,1,2480788.0,2732136.0,649933.0,11.9,11.6,89314.0,1992889.0,120037.0,34683.0,466597.0,28616.0
2013,4,14,1,2134045.0,2435958.0,650709.0,16.5,11.7,47576.0,1737673.0,130176.0,43654.0,449471.0,27408.0
2013,4,15,1,2400718.0,2734284.0,600533.0,15.4,11.9,181685.0,1952066.0,49146.0,34466.0,490614.0,26307.0
2013,4,20,1,2356288.0,2761918.0,679870.0,8.8,12.5,59122.0,2022926.0,144352.0,27696.0,478214.0,29608.0
2013,4,21,1,2232451.0,2530942.0,579305.0,9.6,12.7,46437.0,1905200.0,46040.0,31761.0,472155.0,29349.0
